title,synopsis_en,
Francis In The Navy,"Francis In The Navy tells the story of a young man named Francis who enlists in the United States Navy. Despite his initial reluctance and homesickness, Francis quickly adapts to navy life and becomes a respected member of his unit. Along the way, he faces challenges and makes friends, ultimately learning valuable lessons about responsibility, teamwork, and sacrifice. As his tour of duty comes to an end, Francis must decide whether to reenlist or return to civilian life.",Jan 9 version
The Convent,"The Convent is a thriller about a young woman named Sarah who is sent to a remote convent in the mountains by her wealthy parents in an attempt to straighten out her rebellious behavior. Once at the convent, Sarah discovers that the nuns who run the institution have a dark secret and are not who they seem. As she delves deeper into the convent's past, she realizes that the nuns are hiding a sinister conspiracy that involves murder and the occult. Along with a fellow inmate, Sarah must fight to uncover the truth and escape the convent before it's too late.",Jan 9 version
Ma And Pa Kettle On Vacation,"Ma and Pa Kettle On Vacation is a comedy film about a rural couple, Ma and Pa Kettle, who win a trip to the big city and must navigate the culture shock and humorous situations that ensue as they try to fit in with urban society while on vacation. Along the way, they encounter eccentric characters and unexpected challenges, but ultimately find a way to appreciate the simple pleasures of life and return home with a renewed appreciation for their small-town roots.",Jan 9 version
Daylight Fades,"Daylight Fades is a gripping and emotional story about a young woman named Emily who is struggling to come to terms with the loss of her husband in a tragic accident. As she navigates the difficult and painful process of grief, Emily begins to question her faith and her ability to move on with her life. With the help of her closest friends and family, she sets out on a journey of self-discovery and healing, learning to find hope and meaning in the darkest of days. Ultimately, she must confront the truth about her past and find the strength to let go of her loved one and embrace a new future, as the daylight fades.",Jan 9 version
Temptation Island,"Temptation Island is a reality TV show where four couples are sent to a tropical island to test the strength of their relationships. The couples are separated and paired with attractive singles in order to tempt them to cheat. The show follows the couples as they navigate the challenges and temptations of the island, and ultimately, decide whether to stay together or break up. The stakes are high as they must decide whether to risk everything for love or give in to temptation. As the drama unfolds, viewers are left on the edge of their seats wondering what will happen next.",Jan 9 version
The Suckling,"The Suckling is a horror film about a young woman who is struggling to cope with the recent loss of her newborn child. Desperate for a sense of connection and to ease her overwhelming grief, she turns to a mysterious and ancient ritual that promises to bring her baby back to life. However, as she delves deeper into the ritual and its origins, she begins to realize that the price of her longing may be far greater than she ever could have imagined. The film explores themes of motherhood, grief, and the true cost of desire as our protagonist is pulled into a terrifying and inescapable nightmare.",Jan 9 version
English: An Autumn In London,"English: An Autumn in London tells the story of a young American woman named Olivia, who moves to London to study abroad during the autumn semester. As she explores the city and immerses herself in the culture, Olivia discovers new passions and experiences love and heartbreak. Along the way, she struggles to reconcile her American identity with her growing love for all things English. As the leaves fall and the semester comes to a close, Olivia must decide whether to return home or stay in the city that has captured her heart.",Jan 9 version
Just Another Romantic Wrestling Comedy,"Just Another Romantic Wrestling Comedy is a story about a struggling young wrestler named Jack who falls for a girl named Amanda, who is a huge wrestling fan. Despite her love for the sport, Amanda is not interested in dating a wrestler, so Jack must come up with a plan to win her heart. With the help of his training partner and best friend, Mike, Jack enters a local wrestling tournament in hopes of impressing Amanda. Along the way, they encounter a series of comical mishaps and rival wrestlers, but ultimately, Jack must prove to Amanda that his love for her is real and that he's more than just another wrestler in the ring. With a mix of romance and comedy, this film tells the story of a young man's journey to prove his worth and win the girl of his dreams.",Jan 9 version
Young People,"Young People is a coming of age story that follows a group of high school friends as they navigate the challenges and complexities of growing up. As they struggle with issues such as love, loss, and self-discovery, they come to realize that the true meaning of friendship and family is not always what they expect. The story is a heartwarming and honest portrayal of the struggles and triumphs of youth, and ultimately shows that even in the darkest of times, hope and resilience can shine through.",Jan 9 version
Sound Off,"Sound Off is a dramatic film about a young, ambitious musician named Jack who is determined to make it in the cutthroat music industry. Despite facing numerous obstacles and setbacks, Jack refuses to give up on his dream. Along the way, he meets a talented singer named Sarah, who becomes his muse and helps him to find his true voice. Together, they navigate the ups and downs of the industry and fight to make their mark on the world of music. But as Jack's success grows, he must confront the sacrifices he's made and the cost of chasing his dream. Will he be able to find the balance between his passion and his personal life or will it all fall apart?",Jan 9 version
Thar She Blows!,"Thar She Blows! is a thrilling adventure story set in the early 19th century, during the height of the whaling industry. The story follows the crew of the ""Essex,"" a whaling ship that sets out on a journey to hunt the elusive and dangerous sperm whale. But when the ship is attacked and sunk by a massive sperm whale, the crew must fight for survival on the open seas. Faced with hunger, thirst, and the threat of cannibalism, the crew must find a way to make it back to civilization before they succumb to their dire circumstances. Along the way, they encounter other whaling ships, and must decide whether to join forces with them or fend for themselves. With action, adventure, and suspense at every turn, ""Thar She Blows!"" is a tale of survival and determination in the face of seemingly insurmountable odds.",Jan 9 version
