,Title,Sinopsis
1,Francis In The Navy,Francis in the Navy is the story of a young man who joins the Royal Navy as a midshipman and falls in love with the daughter of the captain of a merchant ship.
3,The Convent,"The Convent of Notre Dame de Namur tells the story of a young girl who is sent to a convent after the death of her parents. She is placed under the care of Sister Catherine, a strict disciplinarian, and is forced to live in the convent for the rest of her life. She soon finds out that the convent is not a convent at all, but rather an institution for the criminally insane, and she soon finds herself falling in love with Sister Catherine."
5,Ma And Pa Kettle On Vacation,"Ma and Pa Kettle go on vacation with their daughter and son-in-law. The Kettles are on their way to visit Pa's brother, who is away on a business trip. On the way, they pick up a hitchhiker, who turns out to be Ma's ex-boyfriend, who has just been released from prison after serving time for a murder he didn't commit."
7,Daylight Fades,"The film tells the story of a group of people who live in a small town in the American Southwest in the 1950s. The film is set in the small town of Pawnee, Arizona, and follows the lives of two brothers and their families as they struggle to make ends meet in the aftermath of the Civil War. The older brother, John, is a former Confederate soldier who has become an alcoholic and a drug addict. The younger brother, David, is an ex-convict who has recently been released from prison after serving time for the murder of his wife. The two brothers have been estranged since the death of their father, who was shot and killed in the line of duty during the war. The film begins with a flashback to the events that led up to the shooting of John's father. John and David's father was killed in a shootout with Confederate soldiers during the Battle of the Little Big Horn. David's mother was killed by Confederate soldiers, and his father's body was never found. David and David were raised by their aunt and uncle, who were both Confederate soldiers. David has a crush on his aunt's daughter, and David is in love with her, but she is not interested in him."
9,Temptation Island,"The film is set on an island off the coast of South Africa in the early 20th century. It is the story of a young woman who falls in love with the son of a rich industrialist, but is seduced by the son's father's mistress."
11,The Suckling,"The Suckling tells the story of a young woman who falls in love with and marries a young man, but then discovers that he is a vampire. The film is set in the late 19th century."
13,English: An Autumn In London,"English: An Autumn in London tells the story of a group of English students who are invited to spend a weekend at a country house in the English countryside. The film is set in the late 1920s and early 1930s, during the English Civil War. The main character is a young Englishman who has been sent to London to complete his education. He meets a young woman who is also studying in London and falls in love with her. However, she is engaged to be married to the son of a local aristocrat."
15,Just Another Romantic Wrestling Comedy,"The film is a romantic comedy about a group of college students who go to a wrestling match in a small town to watch the World Heavyweight Championship Wrestling (WWE) match between the World Champion and the loser of the previous night's match, The Champ. The film follows the antics of the wrestlers as they try to win the match, while trying to avoid the advances of the Champ's girlfriend."
17,Young People,"Young People tells the story of a group of high school students in a small town in the south of France in the early 1990s. The film focuses on the lives of three teenagers, a boy, a girl, and a boy. The boy is the son of a wealthy family, and the girl is the daughter of a middle-class family. The father is a successful businessman, while the girl's family is poor and lives in a squalid apartment. The girl is in love with the boy, but the father does not approve of their relationship because he fears that his daughter will marry the boy's father."
19,Sound Off,"Sound Off tells the story of a group of college students who decide to take part in a radio contest to see who can play the most popular song, ""Sound Off"". The contest is sponsored by a local radio station and features a variety of musical acts, including a variety show, a rock band, a jazz trio, a punk rock group, a country band and a rock group."
21,Thar She Blows!,"The film is set in a small town in the American Southwest in the early 1900s. It is about a young woman who is determined to make it big in the music business, but finds it difficult to make ends meet. She falls in love with the son of a wealthy rancher, who is also the owner of a music store."
23,The Roommates,"The Roommates tells the story of a group of college roommates who live together in a small apartment in Los Angeles, California. The film follows the lives of the roommates as they struggle to cope with the pressures of college life and the changes that come with it."
25,Bowery Battalion,"The Bowery Battalion of the New York City Police Department's ""Bowery Battalions"" is an all-black, all-female unit of the NYPD's Patrol Division. The film follows the lives of four members of the unit, who have been assigned to patrol the streets of New York's Lower East Side and the surrounding areas of the city. The film begins with the arrival of a group of bikers, led by a biker named ""Benny"" and his friends, who are on their way to a party at the home of a friend of theirs. The bikers arrive at the house and are greeted by the owner of the house, a man named ""Pete"" who is a member of the biker gang. Pete introduces himself to the bikers and tells them that his name is Pete, and that he is the leader of the gang. He explains that he and his gang are looking for a place to stay for the night, and they are going to stay at Pete's house for a few days. Pete and his biker friends meet up with the other bikers at a local bar, where Pete tells them about his plan to rob a local bank."
27,The Man In Black,The Man in Black tells the story of a young man who becomes involved with a gang of jewel thieves and is framed for the murder of his father.
29,Grandmother's House,"The film tells the story of a young woman who lives with her widowed grandmother in a dilapidated house in the English countryside. The film is set in the late 19th century, during the time of the Napoleonic Wars. The story is told through the eyes of the young woman's grandmother, who lives alone in the house with her two sons and two daughters."
